source,target
519,523
519,531
519,540
519,545
519,551
519,558
519,563
519,569
519,571
519,577
519,583
519,594
519,606
519,610
519,616
519,618
519,624
519,628
519,633
519,639
519,643
519,650
519,658
519,674
519,685
519,689
519,695
519,701
519,715
519,721
519,733
519,752
519,759
519,762
519,771
519,776
519,783
519,789
523,531
523,540
523,545
523,551
523,558
523,563
523,569
523,571
523,577
523,583
523,594
523,606
523,610
523,616
523,618
523,624
523,628
523,633
523,639
523,643
523,650
523,658
523,674
523,685
523,689
523,695
523,701
523,715
523,721
523,733
523,752
523,759
523,762
523,771
523,776
523,783
523,789
531,540
531,545
531,551
531,558
531,563
531,569
531,571
531,577
531,583
531,594
531,606
531,610
531,616
531,618
531,624
531,628
531,633
531,639
531,643
531,650
531,658
531,674
531,685
531,689
531,695
531,701
531,715
531,721
531,733
531,752
531,759
531,762
531,771
531,776
531,783
531,789
540,545
540,551
540,558
540,563
540,569
540,571
540,577
540,583
540,594
540,606
540,610
540,616
540,618
540,624
540,628
540,633
540,639
540,643
540,650
540,658
540,674
540,685
540,689
540,695
540,701
540,715
540,721
540,733
540,752
540,759
540,762
540,771
540,776
540,783
540,789
545,551
545,558
545,563
545,569
545,571
545,577
545,583
545,594
545,606
545,610
545,616
545,618
545,624
545,628
545,633
545,639
545,643
545,650
545,658
545,674
545,685
545,689
545,695
545,701
545,715
545,721
545,733
545,752
545,759
545,762
545,771
545,776
545,783
545,789
551,558
551,563
551,569
551,571
551,577
551,583
551,594
551,606
551,610
551,616
551,618
551,624
551,628
551,633
551,639
551,643
551,650
551,658
551,674
551,685
551,689
551,695
551,701
551,715
551,721
551,733
551,752
551,759
551,762
551,771
551,776
551,783
551,789
558,563
558,569
558,571
558,577
558,583
558,594
558,606
558,610
558,616
558,618
558,624
558,628
558,633
558,639
558,643
558,650
558,658
558,674
558,685
558,689
558,695
558,701
558,715
558,721
558,733
558,752
558,759
558,762
558,771
558,776
558,783
558,789
563,569
563,571
563,577
563,583
563,594
563,606
563,610
563,616
563,618
563,624
563,628
563,633
563,639
563,643
563,650
563,658
563,674
563,685
563,689
563,695
563,701
563,715
563,721
563,733
563,752
563,759
563,762
563,771
563,776
563,783
563,789
569,571
569,577
569,583
569,594
569,606
569,610
569,616
569,618
569,624
569,628
569,633
569,639
569,643
569,650
569,658
569,674
569,685
569,689
569,695
569,701
569,715
569,721
569,733
569,752
569,759
569,762
569,771
569,776
569,783
569,789
571,577
571,583
571,594
571,606
571,610
571,616
571,618
571,624
571,628
571,633
571,639
571,643
571,650
571,658
571,674
571,685
571,689
571,695
571,701
571,715
571,721
571,733
571,752
571,759
571,762
571,771
571,776
571,783
571,789
577,583
577,594
577,606
577,610
577,616
577,618
577,624
577,628
577,633
577,639
577,643
577,650
